workbook_id,workbook_name,domain,business_owner,audience,criticality,migration_lane,monthly_views,stakeholder_count,dashboard_tabs,tableau_calc_fields,data_sources,custom_sql_blocks,extract_age_hours,uncertified_metrics,row_level_security,tableau_baseline_load_seconds
WB024,Digital Shelf Finance reconciliation,Digital Shelf,CRM Analytics,Analyst,Tier 1,Wave 2,2854,36,7,25,8,0,87,3,User attribute,10.3
WB025,CRM and Loyalty Campaign pacing,CRM and Loyalty,Media Analytics,Analyst,Tier 2,Wave 1,2907,27,4,14,2,6,55,2,User attribute,16.9
WB026,Client Performance Finance reconciliation,Client Performance,Client Reporting,Analyst,Tier 3,Hold for redesign,3340,8,6,8,8,1,32,1,Region filter,10.5
WB027,Finance Operations Digital shelf availability,Finance Operations,Media Analytics,Activation team,Tier 3,Hold for redesign,1534,28,9,24,6,6,32,0,Region filter,13.0
WB028,Finance Operations Campaign pacing,Finance Operations,Commerce Analytics,Executive,Tier 2,Wave 1,2672,16,6,9,2,4,17,8,User attribute,11.3
WB029,Digital Shelf Digital shelf availability,Digital Shelf,Media Analytics,Activation team,Tier 2,Wave 2,584,33,4,32,4,7,22,11,User attribute,16.1
WB030,Finance Operations Commerce conversion,Finance Operations,BI Platform,Executive,Tier 2,Wave 2,3395,22,14,28,3,4,55,8,User attribute,19.1
WB031,Finance Operations CRM lifecycle,Finance Operations,BI Platform,Client partner,Tier 3,Wave 1,3265,26,9,35,3,2,57,4,None,9.0
WB032,Commerce Retail media performance,Commerce,Media Analytics,Executive,Tier 2,Wave 2,2907,11,7,42,9,7,57,5,None,15.1
WB033,Audience Strategy Commerce conversion,Audience Strategy,Client Reporting,Analyst,Tier 2,Wave 3,6143,21,4,19,9,1,84,1,User attribute,5.9
WB034,Client Performance Finance reconciliation,Client Performance,BI Platform,Client partner,Tier 3,Wave 2,7286,31,17,29,9,1,23,10,Region filter,21.8
WB035,CRM and Loyalty Retail media performance,CRM and Loyalty,Client Reporting,Finance,Tier 2,Wave 1,2282,15,13,14,9,0,52,5,User attribute,17.3
WB036,Audience Strategy Campaign pacing,Audience Strategy,Commerce Analytics,Finance,Tier 1,Wave 1,4057,24,17,26,3,5,64,3,None,11.4
