sample_date,workbook_id,tableau_load_seconds,looker_load_seconds,warehouse_query_cost,cache_hit_rate_pct,pdt_build_minutes
2026-01-12,WB010,12.3,8.1,3.15,82.2,12.7
2026-01-19,WB010,12.3,6.0,3.68,83.6,6.6
2026-01-26,WB010,12.3,11.4,2.3,59.8,27.2
2026-02-02,WB010,12.3,11.0,4.74,70.3,15.0
2026-02-09,WB010,12.3,11.1,2.19,57.2,31.1
2026-02-16,WB010,12.3,8.8,0.48,82.1,19.7
2026-02-23,WB010,12.3,5.4,1.47,52.6,7.1
2026-03-02,WB010,12.3,8.9,2.84,45.4,36.4
2026-01-12,WB011,17.3,16.2,7.23,50.5,0
2026-01-19,WB011,17.3,8.4,5.84,81.4,0
2026-01-26,WB011,17.3,8.8,7.66,54.4,0
2026-02-02,WB011,17.3,10.2,2.63,75.0,0
2026-02-09,WB011,17.3,11.8,2.19,63.3,0
2026-02-16,WB011,17.3,11.2,0.48,84.7,0
2026-02-23,WB011,17.3,10.1,3.52,73.8,0
2026-03-02,WB011,17.3,8.2,7.56,52.4,0
2026-01-12,WB012,4.6,3.3,4.45,41.2,28.7
2026-01-19,WB012,4.6,2.4,3.97,64.7,22.5
2026-01-26,WB012,4.6,2.4,3.22,60.9,18.5
2026-02-02,WB012,4.6,3.5,0.33,87.1,33.6
2026-02-09,WB012,4.6,3.5,1.42,96,6.6
2026-02-16,WB012,4.6,3.4,3.87,63.4,27.1
2026-02-23,WB012,4.6,3.9,2.97,68.8,6.3
2026-03-02,WB012,4.6,3.8,1.92,64.1,23.3
2026-01-12,WB013,21.0,13.2,8.05,86.4,0
2026-01-19,WB013,21.0,17.6,5.78,70.6,0
2026-01-26,WB013,21.0,12.2,4.63,75.6,0
2026-02-02,WB013,21.0,11.3,1.59,65.0,0
2026-02-09,WB013,21.0,15.8,5.16,57.9,0
2026-02-16,WB013,21.0,17.1,0.65,65.6,0
2026-02-23,WB013,21.0,16.2,3.88,62.7,0
2026-03-02,WB013,21.0,15.7,5.71,68.7,0
2026-01-12,WB014,22.3,16.3,1.66,61.2,37.7
2026-01-19,WB014,22.3,17.6,1.7,62.2,32.2
2026-01-26,WB014,22.3,15.8,1.53,73.8,26.9
2026-02-02,WB014,22.3,18.0,3.85,54.8,28.7
2026-02-09,WB014,22.3,16.7,2.35,93.7,30.4
2026-02-16,WB014,22.3,16.3,2.86,62.6,9.8
2026-02-23,WB014,22.3,16.7,4.06,81.6,5.1
2026-03-02,WB014,22.3,18.0,0.22,86.1,14.7
2026-01-12,WB015,20.3,18.0,2.45,71.7,35.8
2026-01-19,WB015,20.3,18.0,4.23,96,7.6
2026-01-26,WB015,20.3,18.0,4.75,79.1,22.5
2026-02-02,WB015,20.3,14.3,4.11,68.4,7.8
2026-02-09,WB015,20.3,10.3,1.34,80.0,10.3
2026-02-16,WB015,20.3,16.6,2.78,78.4,33.1
2026-02-23,WB015,20.3,18.0,2.54,68.7,6.9
2026-03-02,WB015,20.3,15.1,0.79,72.9,12.9
2026-01-12,WB016,15.0,10.2,3.95,60.1,0
2026-01-19,WB016,15.0,9.5,1.89,75.5,0
2026-01-26,WB016,15.0,13.4,0.53,56.9,0
2026-02-02,WB016,15.0,14.0,2.35,50.5,0
2026-02-09,WB016,15.0,7.1,4.14,53.7,0
2026-02-16,WB016,15.0,7.8,4.07,41.2,0
2026-02-23,WB016,15.0,10.9,7.01,96,0
2026-03-02,WB016,15.0,8.8,5.27,96,0
2026-01-12,WB017,10.8,8.2,2.72,89.3,23.9
2026-01-19,WB017,10.8,8.4,1.05,80.4,12.4
2026-01-26,WB017,10.8,8.2,1.71,96,30.0
2026-02-02,WB017,10.8,7.6,3.59,54.4,16.0
2026-02-09,WB017,10.8,5.5,0.99,83.9,34.2
2026-02-16,WB017,10.8,10.6,2.58,81.1,31.8
2026-02-23,WB017,10.8,4.4,0.78,73.0,25.4
2026-03-02,WB017,10.8,4.7,1.16,72.9,25.7
2026-01-12,WB018,13.6,11.2,1.2,64.2,10.3
2026-01-19,WB018,13.6,9.8,3.74,73.2,14.0
2026-01-26,WB018,13.6,7.1,1.39,58.9,9.2
2026-02-02,WB018,13.6,8.4,0.56,96.0,36.1
2026-02-09,WB018,13.6,9.2,0.61,91.6,22.9
2026-02-16,WB018,13.6,8.9,0.55,86.3,22.8
2026-02-23,WB018,13.6,10.3,4.16,93.5,30.5
2026-03-02,WB018,13.6,10.9,4.77,79.2,12.3
2026-01-12,WB019,8.7,6.1,5.31,72.2,0
2026-01-19,WB019,8.7,6.3,3.66,70.8,0
2026-01-26,WB019,8.7,5.8,0.47,48.2,0
2026-02-02,WB019,8.7,4.2,8.63,94.6,0
2026-02-09,WB019,8.7,4.2,4.22,91.8,0
2026-02-16,WB019,8.7,4.7,4.4,46.6,0
2026-02-23,WB019,8.7,5.0,7.31,76.8,0
2026-03-02,WB019,8.7,4.8,5.89,64.0,0
2026-01-12,WB020,13.7,7.9,0.92,44.2,30.0
2026-01-19,WB020,13.7,9.3,0.67,74.5,30.4
2026-01-26,WB020,13.7,11.4,3.97,91.1,22.6
2026-02-02,WB020,13.7,12.3,4.01,74.2,29.5
2026-02-09,WB020,13.7,8.6,2.23,52.0,18.9
2026-02-16,WB020,13.7,13.1,1.24,90.5,31.6
2026-02-23,WB020,13.7,9.8,3.45,61.9,8.7
2026-03-02,WB020,13.7,7.0,0.41,61.3,15.9
2026-01-12,WB021,13.9,10.8,0.14,43.1,20.2
2026-01-19,WB021,13.9,6.6,3.31,91.1,31.8
2026-01-26,WB021,13.9,12.8,0.75,69.3,6.4
2026-02-02,WB021,13.9,9.0,0.61,56.0,8.7
2026-02-09,WB021,13.9,11.7,0.76,96,37.8
2026-02-16,WB021,13.9,7.1,0.17,58.5,28.6
2026-02-23,WB021,13.9,10.0,2.06,54.9,27.3
2026-03-02,WB021,13.9,11.5,0.6,68.3,17.1
2026-01-12,WB022,6.7,3.6,1.71,92.2,0
2026-01-19,WB022,6.7,6.2,1.26,96,0
2026-01-26,WB022,6.7,4.9,7.73,82.6,0
2026-02-02,WB022,6.7,4.7,1.81,78.4,0
2026-02-09,WB022,6.7,5.7,7.25,73.1,0
2026-02-16,WB022,6.7,3.5,8.23,56.7,0
2026-02-23,WB022,6.7,4.5,5.23,94.4,0
2026-03-02,WB022,6.7,2.9,4.74,93.3,0
2026-01-12,WB023,19.1,11.5,1.53,87.0,31.9
2026-01-19,WB023,19.1,10.4,4.12,50.2,7.2
2026-01-26,WB023,19.1,9.5,0.7,61.5,6.1
2026-02-02,WB023,19.1,15.3,1.06,49.5,35.9
2026-02-09,WB023,19.1,9.1,4.41,81.4,6.5
2026-02-16,WB023,19.1,17.4,3.15,70.4,32.8
2026-02-23,WB023,19.1,15.5,4.53,61.9,5.7
2026-03-02,WB023,19.1,17.0,3.51,53.3,18.5
2026-01-12,WB024,10.3,7.3,3.06,92.1,0
2026-01-19,WB024,10.3,6.9,4.49,64.3,0
2026-01-26,WB024,10.3,6.4,5.15,83.9,0
2026-02-02,WB024,10.3,6.6,7.34,54.8,0
2026-02-09,WB024,10.3,6.8,2.82,68.4,0
2026-02-16,WB024,10.3,8.2,7.66,68.8,0
2026-02-23,WB024,10.3,8.6,1.84,56.7,0
2026-03-02,WB024,10.3,7.8,1.16,92.8,0
2026-01-12,WB025,16.9,7.8,4.97,86.8,0
2026-01-19,WB025,16.9,15.6,5.07,83.0,0
2026-01-26,WB025,16.9,10.9,7.8,44.7,0
2026-02-02,WB025,16.9,11.8,4.4,96,0
2026-02-09,WB025,16.9,13.3,8.09,83.4,0
2026-02-16,WB025,16.9,14.3,5.65,86.4,0
2026-02-23,WB025,16.9,9.3,8.72,85.3,0
2026-03-02,WB025,16.9,13.7,3.94,84.0,0
2026-01-12,WB026,10.5,6.7,0.96,91.7,15.9
2026-01-19,WB026,10.5,5.9,3.63,63.5,27.4
2026-01-26,WB026,10.5,6.0,0.89,43.1,33.1
2026-02-02,WB026,10.5,8.2,1.39,61.0,17.9
2026-02-09,WB026,10.5,5.1,3.72,96,26.0
2026-02-16,WB026,10.5,7.2,1.31,79.8,31.4
2026-02-23,WB026,10.5,6.8,3.13,65.1,15.9
2026-03-02,WB026,10.5,5.9,3.29,84.7,32.0
2026-01-12,WB027,13.0,9.2,0.55,93.0,24.9
2026-01-19,WB027,13.0,9.7,4.64,64.9,10.8
2026-01-26,WB027,13.0,7.5,1.64,70.8,32.3
2026-02-02,WB027,13.0,7.1,3.06,68.2,15.7
2026-02-09,WB027,13.0,6.4,2.88,91.1,9.7
2026-02-16,WB027,13.0,10.8,1.49,65.2,15.5
2026-02-23,WB027,13.0,12.0,1.73,48.0,34.6
2026-03-02,WB027,13.0,7.6,4.56,81.3,11.8
2026-01-12,WB028,11.3,9.2,3.74,89.6,0
2026-01-19,WB028,11.3,7.5,7.22,75.2,0
2026-01-26,WB028,11.3,9.0,1.24,76.3,0
2026-02-02,WB028,11.3,9.9,3.87,73.1,0
2026-02-09,WB028,11.3,8.6,6.16,84.1,0
2026-02-16,WB028,11.3,6.4,6.21,91.3,0
2026-02-23,WB028,11.3,10.3,1.39,84.4,0
2026-03-02,WB028,11.3,6.7,2.53,74.5,0
2026-01-12,WB029,16.1,13.2,1.71,71.6,29.7
2026-01-19,WB029,16.1,7.5,3.27,96,19.6
2026-01-26,WB029,16.1,11.7,4.63,96,4.1
2026-02-02,WB029,16.1,13.0,2.15,48.7,30.6
2026-02-09,WB029,16.1,14.5,0.95,60.6,31.7
2026-02-16,WB029,16.1,8.0,2.96,64.5,18.2
2026-02-23,WB029,16.1,12.1,1.29,96,17.5
2026-03-02,WB029,16.1,9.5,3.89,91.2,34.1
2026-01-12,WB030,19.1,15.8,0.47,63.2,36.5
2026-01-19,WB030,19.1,13.5,0.88,50.3,22.5
2026-01-26,WB030,19.1,11.9,4.26,61.0,14.0
2026-02-02,WB030,19.1,17.4,2.35,56.5,23.1
2026-02-09,WB030,19.1,15.6,0.67,61.7,25.8
2026-02-16,WB030,19.1,16.7,0.32,77.2,34.1
2026-02-23,WB030,19.1,12.2,0.66,67.0,4.8
2026-03-02,WB030,19.1,13.5,2.53,92.0,21.3
2026-01-12,WB031,9.0,8.3,4.77,76.9,19.7
2026-01-19,WB031,9.0,6.2,0.45,87.7,20.6
2026-01-26,WB031,9.0,5.0,3.19,82.0,7.4
2026-02-02,WB031,9.0,7.2,1.62,48.2,14.4
2026-02-09,WB031,9.0,6.7,1.84,74.3,14.8
2026-02-16,WB031,9.0,5.3,1.28,72.4,18.8
2026-02-23,WB031,9.0,7.3,3.55,92.2,33.8
2026-03-02,WB031,9.0,5.9,1.56,59.2,24.6
2026-01-12,WB032,15.1,9.5,0.69,71.4,28.5
2026-01-19,WB032,15.1,10.2,1.12,95.2,9.5
2026-01-26,WB032,15.1,12.3,0.34,60.0,25.4
2026-02-02,WB032,15.1,6.9,0.4,64.0,12.8
2026-02-09,WB032,15.1,8.5,2.93,65.3,28.5
2026-02-16,WB032,15.1,11.3,0.54,66.9,19.3
2026-02-23,WB032,15.1,14.5,0.93,77.8,31.0
2026-03-02,WB032,15.1,12.4,3.21,50.2,13.0
2026-01-12,WB033,5.9,4.5,3.45,52.8,24.3
2026-01-19,WB033,5.9,5.9,3.12,58.7,26.3
2026-01-26,WB033,5.9,4.8,0.29,71.8,24.4
2026-02-02,WB033,5.9,3.9,0.93,78.8,4.0
2026-02-09,WB033,5.9,3.7,3.77,70.5,16.0
2026-02-16,WB033,5.9,3.9,2.55,67.5,7.1
2026-02-23,WB033,5.9,3.9,4.4,62.4,15.8
2026-03-02,WB033,5.9,5.3,2.96,79.8,23.5
2026-01-12,WB034,21.8,12.2,6.12,63.0,0
2026-01-19,WB034,21.8,13.7,1.88,72.8,0
2026-01-26,WB034,21.8,11.9,8.6,62.7,0
2026-02-02,WB034,21.8,13.9,6.8,76.0,0
2026-02-09,WB034,21.8,13.2,4.18,30.4,0
2026-02-16,WB034,21.8,17.2,6.53,49.9,0
2026-02-23,WB034,21.8,18.0,7.71,76.9,0
2026-03-02,WB034,21.8,17.4,0.34,93.4,0
2026-01-12,WB035,17.3,11.8,4.56,84.2,22.3
2026-01-19,WB035,17.3,12.5,3.63,89.5,25.8
2026-01-26,WB035,17.3,12.6,2.38,66.8,11.7
2026-02-02,WB035,17.3,8.0,2.06,79.2,21.8
2026-02-09,WB035,17.3,13.6,1.47,79.8,22.2
2026-02-16,WB035,17.3,13.4,3.66,70.2,31.1
2026-02-23,WB035,17.3,13.0,2.69,96,10.4
2026-03-02,WB035,17.3,15.0,1.3,73.3,32.2
2026-01-12,WB036,11.4,6.6,4.16,69.5,25.5
2026-01-19,WB036,11.4,6.4,1.42,75.2,8.1
2026-01-26,WB036,11.4,8.9,0.33,71.6,24.3
2026-02-02,WB036,11.4,6.6,0.87,51.3,7.1
2026-02-09,WB036,11.4,9.0,4.79,64.3,25.9
2026-02-16,WB036,11.4,9.3,0.72,64.3,11.9
2026-02-23,WB036,11.4,10.9,3.66,73.5,10.6
2026-03-02,WB036,11.4,8.7,0.76,52.9,34.6
