workbook_id,workbook_name,domain,criticality,migration_lane,priority_score,readiness_score,monthly_views,metric_count,parity_pass_rate,certified_metric_rate,load_improvement_pct,cutover_lane,next_action
WB013,CRM and Loyalty Campaign pacing,CRM and Loyalty,Tier 1,Wave 1,141.8,82.5,6893,4,100.0,0.0,29.1,Ready for Looker cutover,Schedule production cutover and archive Tableau duplicate
WB035,CRM and Loyalty Retail media performance,CRM and Loyalty,Tier 2,Wave 1,140.0,0,2282,8,33.3,37.5,27.8,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB032,Commerce Retail media performance,Commerce,Tier 2,Wave 2,139.5,14.9,2907,5,33.3,40.0,29.1,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB025,CRM and Loyalty Campaign pacing,CRM and Loyalty,Tier 2,Wave 1,136.8,45.9,2907,8,66.7,62.5,28.5,Owner validation,Complete KPI definition review and LookML certification
WB020,Digital Shelf Executive scorecard,Digital Shelf,Tier 3,Wave 1,133.8,33.8,2706,5,66.7,40.0,27.6,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB031,Finance Operations CRM lifecycle,Finance Operations,Tier 3,Wave 1,129.9,14.0,3265,6,66.7,66.7,27.9,Owner validation,Run owner validation and prepare enablement notes
WB009,CRM and Loyalty Finance reconciliation,CRM and Loyalty,Tier 2,Wave 1,126.8,41.2,8163,8,83.3,37.5,32.6,Owner validation,Complete KPI definition review and LookML certification
WB007,Commerce Digital shelf availability,Commerce,Tier 1,Wave 3,126.3,47.5,4691,5,83.3,20.0,34.1,Owner validation,Run owner validation and prepare enablement notes
WB002,Audience Strategy Commerce conversion,Audience Strategy,Tier 2,Hold for redesign,125.6,36.6,3305,4,50.0,0.0,33.1,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB010,Client Performance Client QBR packet,Client Performance,Tier 1,Wave 3,124.6,57.8,3121,8,66.7,37.5,28.2,Owner validation,Run owner validation and prepare enablement notes
WB027,Finance Operations Digital shelf availability,Finance Operations,Tier 3,Hold for redesign,123.9,31.6,1534,7,66.7,28.6,32.4,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB005,Retail Media Client QBR packet,Retail Media,Tier 3,Wave 3,123.2,23.7,2133,8,50.0,50.0,30.2,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB014,Retail Media Commerce conversion,Retail Media,Tier 2,Wave 2,117.7,14.1,1689,7,50.0,28.6,24.1,Blocker remediation,Resolve failed parity tests with metric owner and warehouse SQL evidence
WB012,Retail Media CRM lifecycle,Retail Media,Tier 3,Wave 3,116.3,57.5,5536,7,66.7,57.1,28.8,Owner validation,Complete KPI definition review and LookML certification
WB018,Client Performance Client QBR packet,Client Performance,Tier 3,Wave 3,104.0,26.4,4012,6,66.7,33.3,30.3,Owner validation,Complete KPI definition review and LookML certification
WB021,Commerce Retail media performance,Commerce,Tier 3,Wave 2,103.6,50.8,1807,4,66.7,0.0,28.5,Owner validation,Run owner validation and prepare enablement notes
WB011,Commerce CRM lifecycle,Commerce,Tier 2,Wave 2,102.6,38.8,2945,7,66.7,42.9,38.7,Owner validation,Run owner validation and prepare enablement notes
WB022,CRM and Loyalty CRM lifecycle,CRM and Loyalty,Tier 3,Hold for redesign,91.7,52.8,3501,7,83.3,71.4,32.8,Owner validation,Complete KPI definition review and LookML certification
WB026,Client Performance Finance reconciliation,Client Performance,Tier 3,Hold for redesign,91.7,62.2,3340,6,50.0,83.3,38.3,Owner validation,Run owner validation and prepare enablement notes
